"User ID","Number of Logins","Successful Logins","Failed Logins","Average Successful Login Time","Average Failed Login Time","Password Scheme"
"ast103",17,16,1,12.1875,18,"testtextrandom"
"ast104",26,16,10,11.9375,14,"testtextrandom"
"ast105",15,12,3,7.08333333333333,8.33333333333333,"testtextrandom"
"ast107",21,15,6,5.13333333333333,6.5,"testtextrandom"
"ast108",19,19,0,4.21052631578947,NA,"testtextrandom"
"ast111",20,12,8,20.9166666666667,9.125,"testtextrandom"
"ast112",15,15,0,7.73333333333333,NA,"testtextrandom"
"ast114",22,15,7,11.1333333333333,9.85714285714286,"testtextrandom"
"ast115",15,15,0,11.2,NA,"testtextrandom"
"ast116",15,15,0,5.93333333333333,NA,"testtextrandom"
"ast118",16,15,1,7.8,9,"testtextrandom"
"ast125",18,15,3,6.4,6,"testtextrandom"
"ast131",21,15,6,12.0666666666667,22.5,"testtextrandom"
"ast133",9,9,0,14.5555555555556,NA,"testtextrandom"
"ast134",15,15,0,7.53333333333333,NA,"testtextrandom"
"ast135",4,3,1,7.33333333333333,5,"testtextrandom"
"ast136",15,15,0,10.3333333333333,NA,"testtextrandom"
"ast138",16,16,0,15.6875,NA,"testtextrandom"
"ipt101",32,16,16,11.375,28.125,"testpasstiles"
"ipt104",12,12,0,21.9166666666667,NA,"testpasstiles"
"ipt105",22,15,7,9.13333333333333,14.7142857142857,"testpasstiles"
"ipt106",21,15,6,21.2666666666667,9.5,"testpasstiles"
"ipt109",15,15,0,23.1333333333333,NA,"testpasstiles"
"ipt110",19,15,4,11.5333333333333,41.5,"testpasstiles"
"ipt113",29,17,12,10.5294117647059,8.83333333333333,"testpasstiles"
"ipt119",18,16,2,14.1875,8.5,"testpasstiles"
"ipt131",15,12,3,37.4166666666667,45.6666666666667,"testpasstiles"
"ipt134",20,15,5,21.2666666666667,45.8,"testpasstiles"
"ipt136",18,15,3,12.4666666666667,17.3333333333333,"testpasstiles"
"ipt137",20,16,4,19.5625,22,"testpasstiles"
"ipt143",18,15,3,23.9333333333333,15.6666666666667,"testpasstiles"
"ipt145",16,15,1,24.7333333333333,34,"testpasstiles"
